year_new,group,average_wage_mar26,median_wage_mar26
1994,hispanic,24.049206544191065,21.365182556269534
1995,hispanic,23.899114625033626,21.425992294811397
1996,hispanic,23.760782632350114,21.231239685794417
1997,hispanic,23.414433143284846,21.138098432223114
1998,hispanic,23.57144541842116,21.654643463831444
1999,hispanic,24.156529192735356,22.223202409342278
2000,hispanic,24.634554102074404,22.682082430271606
2001,hispanic,26.21234958699116,23.377597161231424
2002,hispanic,26.546109768206005,23.77718130818754
2003,hispanic,26.787246476268034,23.9622629315377
2004,hispanic,26.315432501322796,24.07336981725288
2005,hispanic,26.060107268690196,23.883185517609164
2006,hispanic,25.863700984711834,23.638280569545724
2007,hispanic,26.149629085369515,23.87265676325212
2008,hispanic,26.393438078037395,23.93395883112673
2009,hispanic,26.428675534280522,23.885035428538504
2010,hispanic,25.77825688489909,23.252372071498986
2011,hispanic,25.630317839319847,22.705371439875524
2012,hispanic,25.48979349035189,22.106438676214317
2013,hispanic,24.812343008284483,21.07089870548409
2014,hispanic,24.879195781524142,21.141139224965556
2015,hispanic,25.09512045102517,21.279192746863792
2016,hispanic,26.2887738271471,22.019075504273736
2017,hispanic,27.28781914753253,22.765805292636486
2018,hispanic,27.73647449534139,23.62813776838558
2019,hispanic,27.902054910637634,24.040604840896012
2020,hispanic,28.744840807387597,24.3076411976097
2021,hispanic,30.304777981801376,24.92143761266375
2022,hispanic,30.672329166123344,24.797688530930564
2023,hispanic,30.290809241703432,24.767879078708965
2024,hispanic,29.14824290642416,24.27553194541009
2025,hispanic,29.5507572492086,24.910734546731383
2026,hispanic,29.88765071795678,25.192783949007413
2027,hispanic,30.476286146877015,25.417404993859176
2028,hispanic,30.74016858758989,25.29763878871499
1979,male,27.50637727495466,24.975865327391176
1980,male,26.438349754616713,24.28257813173395
1981,male,26.53366814878906,24.413362476919616
1982,male,26.261918344879575,24.16346381162342
1983,male,26.458996704238228,24.239144674481473
1984,male,26.37991346418876,23.882797469011393
1985,male,26.691408662269804,23.950968857941124
1986,male,26.862364546517625,24.2535741970671
1987,male,27.315805025722607,24.815814211894587
1988,male,27.55969565598153,25.108194291095113
1989,male,27.692779530524586,24.985318595929808
1990,male,27.472328489684998,24.911976379411456
1991,male,27.229886058321,24.76017002465012
1992,male,26.5554003132128,24.26251346669584
1993,male,25.935366985983485,23.62867054621746
1994,male,25.509215097166862,23.090027434554568
1995,male,25.19819887164767,22.65831806656282
1996,male,25.075517196589278,22.615061072372225
1997,male,24.927577522252754,22.68078163158023
1998,male,25.53438705824178,23.290560760120332
1999,male,26.42390669927567,23.921405883294234
2000,male,27.765587821480143,24.84959766282566
2001,male,29.122528793548486,26.223724784298415
2002,male,30.447818544702983,27.021048900728726
2003,male,30.77860094922685,27.33780555466707
2004,male,30.117313805917206,26.78658944151953
2005,male,29.194010131609698,25.86709125342363
2006,male,29.120343624657043,25.51083209913978
2007,male,29.588047377507536,25.79213005506759
2008,male,30.10929333377256,26.282791152249885
2009,male,30.04279444812768,26.305168226981014
2010,male,30.008179292165728,26.427735736226765
2011,male,29.512038584389053,25.883188776446385
2012,male,28.929897751094405,25.21345202856388
2013,male,28.334689240292658,24.318727839336884
2014,male,28.411011682913262,24.310514823992317
2015,male,28.994404723383937,24.622064875391512
2016,male,30.075050587208324,25.488143907617815
2017,male,31.030640994795526,26.202003434996346
2018,male,31.443019707360317,26.670440125580303
2019,male,32.02301792843957,26.956211216044505
2020,male,32.89145415317459,27.379602628273688
2021,male,34.4595555947276,28.427828686880165
2022,male,35.36056085549213,28.79441539858909
2023,male,36.24993873637278,29.15367423791006
2024,male,36.195348989173475,28.844223862606782
2025,male,36.10223018938206,29.51216878889006
2026,male,35.58387602397412,29.65333246734269
2027,male,35.53780155861381,29.912533652607735
2028,male,35.66986802793142,29.747947008042615
1989,white,25.290800917262324,23.867041314458973
1990,white,25.70130955316892,23.90355735406617
1991,white,25.522895278200735,23.600912122831122
1992,white,25.116679009775623,23.149935708121266
1993,white,24.528233151386754,22.388290960369226
1994,white,24.11316009734179,21.83877209866093
1995,white,23.812166492225536,21.431020514384656
1996,white,23.670919347379314,21.336474641905557
1997,white,23.59387044735449,21.46561789281457
1998,white,23.983761337459807,22.04132378530481
1999,white,24.80411485689215,22.727205322215738
2000,white,25.812799854339,23.413234538363007
2001,white,26.862547745811888,24.246255147312176
2002,white,27.77460394066619,24.912909093767666
2003,white,28.215934333609553,25.339338543768573
2004,white,27.965732385780885,25.15553085737757
2005,white,27.27300069237379,24.56060625264247
2006,white,27.000029557730862,24.087339206826954
2007,white,27.29322712219078,24.08235481807756
2008,white,27.701423002138316,24.198265920099008
2009,white,27.85254530150301,24.446901570491057
2010,white,27.728084918280313,24.458640788962466
2011,white,27.365838945269648,24.283682335744935
2012,white,26.909630530594498,23.73444023918213
2013,white,26.52481824950546,23.225028955261305
2014,white,26.357494316259203,22.931872133090145
2015,white,26.731188105385492,23.094575006452125
2016,white,27.63623227206747,23.73588776989058
2017,white,28.53058001258604,24.437279218018674
2018,white,29.168497497122196,25.22234849238862
2019,white,29.56667374548997,25.56324945013521
2020,white,30.481187089165623,25.975311844529784
2021,white,31.53929354978597,26.813703065696703
2022,white,32.32889233598364,27.27077865675238
2023,white,32.8815834607106,27.481560913197885
2024,white,32.78159332541353,27.11185362385925
2025,white,33.019848679018594,27.35084146985884
2026,white,32.63905999469634,27.492270308591607
2027,white,32.814401346463,27.86441324611548
2028,white,32.39490722684499,27.728305679039593
