year_new,group,average_wage_mar26,median_wage_mar26,low_wage_mar26
2019,black,25.363213725540245,21.733086753093225,12.516569476542832
2020,black,26.547810227315594,22.2866477786876,12.660381958908694
2021,black,28.223358289656073,23.25408344093175,13.40387757180481
2022,black,28.883378729728324,23.2648091511912,13.740332328985104
2023,black,29.744508664194267,23.445531615920835,14.009290548899585
2024,black,29.390855220981024,23.338827070846275,13.858769737594814
2025,black,29.88550126850056,24.258765069556055,14.207125686152771
2026,black,30.51329139482192,24.883365927254435,15.156679745314355
2027,black,31.36039489596835,25.476620269621804,15.598883172258807
2028,black,32.56757405064605,26.122102240303697,15.772638560425612
1979,female,21.75024366762451,20.695580860783622,12.780518095591141
1980,female,21.40270420814764,20.108719245418882,12.39880162552252
1981,female,21.298881720429875,19.98403112720486,12.226401880912128
1982,female,21.24883345284455,19.84778826074124,12.03425498762742
1983,female,21.47906366055722,19.886107363011615,11.713866209559892
1984,female,21.67953102480964,19.934049698099713,11.38339687998175
1985,female,21.872533002291167,20.041233036716193,11.17510049710058
1986,female,22.160389633501303,20.390082193490095,11.215709330186153
1987,female,22.569367259384745,20.825638303654863,11.504663425383155
1988,female,23.08952825711226,21.46133574360288,11.779280797550573
1989,female,23.38846953975727,21.851324453663707,12.003326991228255
1990,female,23.850327805497738,22.35017584603133,12.069807573795318
1991,female,23.985173496109155,22.33916145353961,12.104060236009651
1992,female,23.749298037236343,22.115425178796563,11.98896579133588
1993,female,23.22394518456549,21.468827406570107,11.671818696086012
1994,female,22.90262372280856,21.083234593603844,11.720002048506007
1995,female,22.695003748246666,20.76076447161433,11.513543538520706
1996,female,22.66440640311489,20.656259997671654,11.56243823589104
1997,female,22.553506225398053,20.563056581909706,11.358097315114168
1998,female,22.85834732468795,21.07877210209761,11.599292909860344
1999,female,23.577287077772603,21.826863963613814,11.984263675755905
2000,female,24.476525013928192,22.565124138520236,12.608068673924093
2001,female,25.360254794177965,23.144281746536848,13.253004109782594
2002,female,26.014214265223455,23.711018144546095,13.522794635087994
2003,female,26.351701631211903,24.03171660275771,13.5486019477474
2004,female,26.25491235013417,24.060157547695923,13.355328461290272
2005,female,25.750906351378664,23.51237582285856,13.087856054686526
2006,female,25.519236868221967,23.1296713456804,12.72722694352048
2007,female,25.705396105402663,23.152802662715917,12.654410960324613
2008,female,26.01083311672277,23.239132489087964,12.847936987194476
2009,female,26.137896629891472,23.32991722605976,13.200671923562304
2010,female,25.85230570448036,23.13431710511963,12.994387314569954
2011,female,25.497753139516515,22.889737203302083,12.787074254486537
2012,female,25.076441216358806,22.474680699278483,12.453030351265568
2013,female,24.858594711149152,22.098163906763023,12.402697758109484
2014,female,24.521273401271408,21.62087824696453,12.132956095207165
2015,female,24.782066056215818,21.569215155627457,12.204698724347825
2016,female,25.33779614009508,21.96356671957387,12.398567277424224
2017,female,26.13104592398337,22.50472039747108,12.772212040335864
2018,female,26.705931651884093,23.089269467911112,13.16851753501933
2019,female,27.08230736597014,23.54996865016161,13.571668475357546
2020,female,28.128169631125154,24.37091746508244,14.054394861162654
2021,female,29.352029600582785,25.14980344316333,14.57507895811382
2022,female,30.049357682721507,25.325605040206725,14.799849687790983
2023,female,30.09162138103392,25.427225567999407,15.070101597963141
2024,female,29.593310091532132,25.176884213263396,15.163889737177781
2025,female,29.995019525398572,25.472030711524656,15.53740949727556
2026,female,30.103153520230112,25.46906852688236,15.584562990522937
2027,female,30.44380454014115,25.504891730807618,15.646501406445283
2028,female,30.131522560439905,25.414635593738563,15.309491276437814
1989,hispanic,22.017217624253057,20.447492928271746,12.068145768715485
1990,hispanic,24.404228565382006,23.281727258380535,11.610325520733236
