occ18,occ18_label,mocc03,mocc03_label,pca_score,share_grads_22_27,share_noncollege_22_27,share_all_grads,share_all_16plus,wgt_grads_22_27,wgt_noncollege_22_27,wgt_all_grads,wgt_all_16plus
860,Insurance Underwriters,1,"Management, business, and financial occupations",2.414259171,0.0016652402266465656,1.8753682495014075e-4,0.0016934989312522063,7.839626100641401e-4,448310.2692260742,102642.84606933594,3173445.507507324,5683646.282348633
900,Financial Examiners,1,"Management, business, and financial occupations",1.366303847,2.717778284415198e-4,8.002939772171154e-5,2.5592893325890916e-4,1.3473240860042282e-4,73167.0959472656,43801.771484375,479584.9046630859,976795.7596740723
910,Credit Counselors and Loan Officers,1,"Management, business, and financial occupations",2.768711565,0.0027268348640172193,9.4695980547785e-4,0.003925750571938245,0.0022302293402384384,734109.1408081055,518291.00537109375,7356459.036499023,16168927.619384766
930,"Tax Examiners and Collectors, and Revenue Agents",1,"Management, business, and financial occupations",2.719815369,3.216058083890236e-4,4.476642000659749e-5,5.586582621977799e-4,3.7232021444141307e-4,86581.614013671875,24501.602600097653,1046869.0116577148,2699282.306945801
940,Tax Preparers,1,"Management, business, and financial occupations",3.606120106,9.850743520360022e-4,4.3173253826144105e-4,0.0012519679415727782,7.592879951236471e-4,265198.3424987793,236296.29263305667,2346061.1438293457,5504757.925079346
960,Other Financial Specialists,1,"Management, business, and financial occupations",2.873525106,0.0012274434949509638,1.9338749094897743e-4,0.0012647165787620523,7.783335208600842e-4,330448.13287353516,105845.03854370117,2369950.7989501953,5642835.979003906
1005,Computer and Information Research Scientists,2,Professional and related occupations,2.86243934,0.0010399861327714383,1.552787421591859e-5,3.3512696055524016e-4,2.4852461270039484e-4,279981.5039978027,8498.73193359375,627993.9879455566,1801777.2441101074
1006,Computer Systems Analysts,2,Professional and related occupations,3.382113025,0.009242017577085223,6.65660853662847e-4,0.007155858655277417,0.0034647880232113637,2488104.311843872,364330.1765136719,13409354.49256897,25119347.93119812
1007,Information Security Analysts,2,Professional and related occupations,3.768733228,0.0036275134995730385,6.287163363236537e-4,0.002877878284795932,0.0015385554399632447,976586.7576293945,344109.66564941406,5392852.481628418,11154364.754486084
1010,Computer Programmers,2,Professional and related occupations,4.910286054,0.004267475067357977,9.441059125115755e-4,0.004929762278313643,0.0024989229514123614,1148875.0186004639,516729.009765625,9237875.304489136,18116927.97633362
1021,Software Developers,2,Professional and related occupations,0.90566079,0.04028231674207665,0.00206886056455647,0.028813341856999262,0.014006309652510084,10844667.318695068,1132330.871673584,53993284.8996582,101544268.51989746
1022,Software Quality Assurance Analysts and Testers,2,Professional and related occupations,9.440663797,6.617764817872122e-4,1.777471954190638e-4,0.0010235686483069687,5.0577372633617e-4,178161.19738769534,97284.77606201173,1918063.9967651367,3666806.200317383
1031,Web Developers,2,Professional and related occupations,4.541933661,0.0013362587317920123,2.3624752658469775e-4,9.642028004385651e-4,4.422597839609785e-4,359742.9981689453,129303.23690795898,1806818.4094543457,3206336.813354492
1032,Web and Digital Interface Designers,2,Professional and related occupations,6.592308071,0.0015181259240349852,3.2547654312816343e-4,0.0011804145443655245,5.23700083452094e-4,408704.66064453125,178140.15313720703,2211977.32321167,3796770.3997192383
1050,Computer Support Specialists,2,Professional and related occupations,3.328538858,0.006408530112898172,0.0030866849694751778,0.007020772054235725,0.004343854333395868,1725282.5233764648,1689407.5617980957,13156215.88156128,31492486.014160156
1065,Database Administrators and Architects,2,Professional and related occupations,5.681161897,8.469556533994545e-4,2.104620470860828e-4,0.0016867744622490616,8.865715535765044e-4,228014.49960327148,115190.30200195312,3160844.5335388184,6427550.306396484
1105,Network and Computer Systems Administrators,2,Professional and related occupations,2.890692393,6.595835331758593e-4,3.852076849818479e-4,0.001905461932715252,0.001132140476535188,177570.81927490234,210832.26254272464,3570642.708129883,8207899.111450195
1106,Computer Network Architects,2,Professional and related occupations,2.898109424,4.024826517791767e-4,1.1804766974423702e-4,0.0011706805888561812,7.133274925096303e-4,108355.00073242188,64609.9708557129,2193736.8762817383,5171549.12600708
1108,"Computer Occupations, All Other",2,Professional and related occupations,6.050623092,0.010246848648870351,0.00341850835652017,0.012920090059441227,0.007381676882469901,2758621.490753174,1871021.4760131836,24210940.43762207,53516379.26599121
1200,Actuaries,2,Professional and related occupations,1.915062236,0.0017350327432998874,0,6.83092789551435e-4,2.3031603579121143e-4,467099.57147216797,0,1280046.7152404785,1669766.9809570312
1220,Operations Research Analysts,2,Professional and related occupations,3.975430076,0.002294821456546037,5.594894154039818e-5,0.0018801256127513144,0.0010354276642923854,617803.97119140625,30622.031677246094,3523165.0101623535,7506741.4175720215
1240,Other Mathematical Science Occupations,2,Professional and related occupations,3.373559687,0.007625046104034302,6.04711027391919e-4,0.004675888380046755,0.0030100996397170597,2052788.7911071777,330971.0555114746,8762141.327301025,21822905.081375122
1305,"Architects, Except Landscape and Naval",2,Professional and related occupations,1.385693994,0.0014603408757380186,3.82840014492726e-5,0.002516720002608928,0.0013845683334945175,393147.9678955078,20953.638671875,4716078.43296814,10037974.46498108
1306,Landscape Architects,2,Professional and related occupations,0.879875457,2.9405228365348796e-4,4.2701351996409766e-5,3.7572665124010216e-4,1.8862932780468484e-4,79163.7484741211,23371.34747314452,704073.6970214844,1367542.7424163818
1310,"Surveyors, Cartographers, and Photogrammetrists",2,Professional and related occupations,0.746894419,6.93467263709194e-4,1.1807556691382232e-4,7.296515350647794e-4,2.8038554041869836e-4,186692.8811340332,64625.23956298826,1367293.089630127,2032765.611480713
1320,Aerospace Engineers,2,Professional and related occupations,1.900876824,0.003014219113584136,9.028211853940445e-5,0.0019810163209963323,0.001126041966973701,811477.7439880371,49413.30108642578,3712223.9808654785,8163685.559997559
1340,Bioengineers and Biomedical Engineers,2,Professional and related occupations,3.227662728,5.138061510101932e-4,5.208716711922702e-5,3.0100527837834937e-4,1.8604012565988636e-4,138325.1318359375,28508.4013671875,564053.4108276367,1348771.2998046875
1350,Chemical Engineers,2,Professional and related occupations,1.458002046,0.0023985208581430092,3.91775376570575e-5,0.001344243886290696,5.323215747194359e-4,645721.56884765625,21442.68981933592,2518976.9200439453,3859275.302581787
1360,Civil Engineers,2,Professional and related occupations,1.54879106,0.012607027648188966,4.969688231712207e-4,0.007995531239518789,0.003359469526161259,3394020.795715332,272001.4825439453,14982815.887237549,24355799.929626465
1400,Computer Hardware Engineers,2,Professional and related occupations,2.265862837,0.0012446360939006532,6.954408590791919e-5,9.825752284686213e-4,5.420159606863941e-4,335076.66546630865,38062.93994140625,1841246.4791259766,3929558.578918457
1410,Electrical and Electronics Engineers,2,Professional and related occupations,1.824658665,0.004415461214891246,2.2495444036999617e-4,0.00370087230434703,0.0017678571880155437,1188715.3422851562,123122.29345703124,6935059.934997559,12816778.256256104
1420,Environmental Engineers,2,Professional and related occupations,2.555459949,9.035523338738778e-4,0,6.001732422432804e-4,2.611115538704074e-4,243251.26403808597,0,1124663.8803100586,1893031.2407531738
1430,"Industrial Engineers, Including Health and Safety",2,Professional and related occupations,2.401709348,0.006190057256850664,3.0701155408766024e-4,0.003793555496884405,0.001729460730433954,1666466.0094909668,168033.8765258789,7108738.852386475,12538407.986312866
1440,Marine Engineers and Naval Architects,2,Professional and related occupations,0.730499952,2.9996007894421433e-4,7.271714267868115e-5,2.0862424263933934e-4,1.0602018429447987e-4,80754.22488403322,39799.62060546876,390940.70468139654,768635.1601257324
1450,Materials Engineers,2,Professional and related occupations,1.595435464,6.214450319011998e-4,9.844830247250108e-5,5.16870265222847e-4,3.4542190193177075e-4,167303.30261230466,53882.8251953125,968562.5369262696,2504272.3767089844
1460,Mechanical Engineers,2,Professional and related occupations,1.996793398,0.008326543910914109,5.320212292643297e-4,0.0058137597657362,0.0026602288464999163,2241643.6275634766,291186.40115356445,10894397.079223633,19286378.71182251
1520,Petroleum Engineers,2,Professional and related occupations,1.209427455,1.541977754108165e-4,9.06655731017932e-6,3.42773270683807e-4,1.4615750466818512e-4,41512.59686279297,4962.3173828125,642322.3988342285,1059626.501800537
1530,"Engineers, All Other",2,Professional and related occupations,1.720539098,0.010911711319357253,9.039609754503565e-4,0.008792841044750702,0.0044446014493319825,2937613.541290283,494756.8419189453,16476893.723846436,32222891.984542847
1541,Architectural and Civil Drafters,2,Professional and related occupations,1.770342096,1.7150665799213903e-4,4.75650210699081e-4,2.973447680606697e-4,2.569458249958018e-4,46172.43493652343,260333.35784912112,557193.985168457,1862830.14553833
1545,Other Drafters,2,Professional and related occupations,1.919984657,9.815462160936192e-4,6.455112347172873e-4,6.495122766412108e-4,5.688906287924442e-4,264248.50982666016,353301.86654663086,1217120.234527588,4124397.0897216797
1551,Electrical and Electronic Engineering Technologists and Technicians,2,Professional and related occupations,1.282117145,3.480014575364317e-4,0.00053130545650310705,4.744736157095184e-4,5.673732807058683e-4,93687.76025390625,290794.6436767578,889115.508972168,4113396.476043701
1555,"Other Engineering Technologists and Technicians, Except Drafters",2,Professional and related occupations,0.542723656,0.0024556547887015566,0.002300598612271949,0.0021739878078654647,0.0024081311417408556,661102.969909668,1259165.9760131836,4073833.006286621,17458696.926940918
