year_new,group,employment_1,employment_2,employment_3,employment_4,employment_5,employment_6,employment_7,employment_8,employment_9,employment_10,employment_11,employment_NA,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_NA
2016,all_grads,9555021.372492472,12116069.72733879,2908654.1901168823,3893646.6687081656,3470673.10814476,75091.81047821045,527702.6225509644,405267.2594235738,667516.0767771403,722506.8933652242,0,0,47957,61313,14491,18737,17676,541,2817,2000,3398,3704,20,60445
2017,all_grads,9731734.039138794,12373384.756526947,3027323.32778422,4045619.967617035,3460719.285455068,81946.30972290039,534526.3682874044,381657.22425206506,700244.8150075277,820228.4896341959,0,0,48333,62468,15014,19481,17490,569,2745,1972,3566,4048,10,62943
2018,all_grads,10034768.263014475,13190572.840035757,3216852.8272158303,4012052.9388783774,3556254.1994400024,102669.0609741211,551292.08847936,407433.20806503296,701033.0880521139,864603.863571167,0,0,48409,63559,15434,18929,17172,641,2791,1941,3405,4096,12,64194
2019,all_grads,10535263.896750132,13506250.264071146,3228892.50970459,4126187.798122406,3709020.3190727234,65059.737396240234,597204.2123756409,460304.12017186487,735537.7167396545,957174.741452535,0,0,48568,62069,14784,18483,17194,420,2788,2137,3465,4277,14,63848
2020,all_grads,10921043.648419699,13811631.642264048,3425783.1665878296,4040243.7603403726,3741942.034769694,90539.50563049316,608357.7732111613,415925.1425310771,752220.07762146,1025370.2695070902,0,0,47433,60259,14554,17326,16580,530,2667,1865,3386,4327,15,63999
2021,all_grads,11047706.889461517,13496508.964195251,2975126.9826812744,3810033.218884786,3553531.3944740295,88428.8235537211,531191.0652618408,423849.3129717509,770014.6229527792,1079771.832408905,0,0,44324,54053,12659,15362,14702,487,2290,1723,3085,4518,9,63401
2022,all_grads,11484904.655431112,13745825.570709229,3203088.0129966736,3952206.7937901816,3690065.1927693686,92264.93433888753,591410.9769770304,464161.1228345235,819909.2076365153,1167678.7384541829,0,0,44364,53492,12552,15185,14444,463,2364,1799,3276,4392,14,63725
2023,all_grads,12117152.18721517,14472812.000765482,3292143.610431671,3869971.0522371926,3639540.7344462075,85064.79210154216,630097.4775263468,448960.0336303711,832326.7072067261,1237537.371125539,0,0,44255,52891,11959,14104,13675,436,2439,1678,3090,4500,6,61536
2024,all_grads,12473953.866283417,14893748.809496561,3488143.1701202393,3913864.9453404746,3535461.479789734,77314.2699584961,640111.9285583496,448107.86540476483,866453.9719848633,1193838.936120351,0,0,44931,53268,12006,13831,13031,430,2408,1692,3146,4195,7,61245
2025,all_grads,12536421.050970713,14932303.761285147,3613744.1029421487,3795477.939743042,3817599.238936106,83364.94235738117,673956.1630910238,439458.1242421468,830355.6399332682,1302770.7778129578,0,0,44445,52769,12667,13220,13817,467,2388,1596,3026,4522,7,61931
2026,all_grads,12671517.02218073,14800107.514107443,3722383.5846599233,3896069.225581776,4017889.0305633545,86929.85771595348,690884.6139304421,488203.2443126332,886706.9923248291,1322842.8138344504,0,0,38919,44796,11243,11808,12335,363,2152,1505,2729,3905,25,57049
1979,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2967653.239509662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31687
1980,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12279148.413999557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136490
1981,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12938061.979721704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156580
1982,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13440395.98022906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145600
1983,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14122123.408545494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150315
1984,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14780375.721090317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152986
1985,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15420508.783159256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154599
1986,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16171860.292061487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159779
1987,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16642103.785259247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160357
1988,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17367301.99736595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163637
1989,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17926829.45915858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154680
1990,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18444017.593957264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165912
1991,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18866670.743424732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173194
1992,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19127318.799265545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173915
1993,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19328958.65659968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171627
1994,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20125818.095822018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171988
1995,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21124762.935682934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174700
1996,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21628322.721987087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171081
1997,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22436625.909513474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160172
1998,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23285017.178648632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163915
1999,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23986644.739468258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168184
