"date","share_ba","share_adv"
1983-04-01,0.178528730342439,0.0341661944892997
1983-05-01,0.178991195201192,0.0344079149771155
1983-06-01,0.179435697156602,0.0346768585047823
1983-07-01,0.179789842997821,0.0347425694355605
1983-08-01,0.180607130556143,0.0345389844392547
1983-09-01,0.181297391295616,0.0346501429782548
1983-10-01,0.182227446302652,0.0343801885491617
1983-11-01,0.18287054332484,0.0339834867989089
1983-12-01,0.183107897337686,0.0333536977976868
1984-01-01,0.183004035690997,0.0329350768765406
1984-02-01,0.183395871868052,0.0326946831430965
1984-03-01,0.183061611977374,0.0320997095484366
1984-04-01,0.182709617788354,0.0318406362260452
1984-05-01,0.182626024915908,0.0316768557794436
1984-06-01,0.182687950933582,0.0315449654317369
1984-07-01,0.183194828511539,0.0317696140429801
1984-08-01,0.183009147636664,0.0322437671561579
1984-09-01,0.182576913918451,0.032187893061431
1984-10-01,0.181727947160662,0.0322991773619328
1984-11-01,0.181421283333545,0.0323482894227203
1984-12-01,0.181245049773303,0.0325471816485486
1985-01-01,0.181291678288454,0.0325312733248789
1985-02-01,0.181293419489862,0.0324894507556428
1985-03-01,0.18186470722366,0.032401450271804
1985-04-01,0.182776926732066,0.0318663758164868
1985-05-01,0.183387046634789,0.0314388448680361
1985-06-01,0.18376190960561,0.0312637374918823
1985-07-01,0.183635203664738,0.0309392010873211
1985-08-01,0.184012440793151,0.0307976664728101
1985-09-01,0.184714461930855,0.0308644671458709
1985-10-01,0.185443542816207,0.0307199440302427
1985-11-01,0.185827080601899,0.0304888445539646
1985-12-01,0.186328641393502,0.0302457320987373
1986-01-01,0.186200769840727,0.0301047852522619
1986-02-01,0.186406913914148,0.0300510226067094
1986-03-01,0.186716209762149,0.0300806844029555
1986-04-01,0.186671053975992,0.0300728320731706
1986-05-01,0.1867909204788,0.0299497542991612
1986-06-01,0.18651212431657,0.0298455479688672
1986-07-01,0.185903055943247,0.0298416134299514
1986-08-01,0.18519600912214,0.0296089817183689
1986-09-01,0.184478248056886,0.0292479387479097
1986-10-01,0.18410921046939,0.0287651690877895
1986-11-01,0.183833594523804,0.0283910722846504
1986-12-01,0.183650235676072,0.0280820704030735
1987-01-01,0.18366385705065,0.0280031435739894
1987-02-01,0.183553297822978,0.0278417827880937
1987-03-01,0.183455407700622,0.0276230748740966
1987-04-01,0.183272805271883,0.0277377450955506
1987-05-01,0.183123938576313,0.0278436350988894
1987-06-01,0.183645575716024,0.0275317521495935
1987-07-01,0.184312498155242,0.027343211141356
1987-08-01,0.185199039764259,0.0272117647192231
1987-09-01,0.186289894585543,0.0270941132336623
1987-10-01,0.186832667020045,0.0275366041086469
1987-11-01,0.187313251544208,0.0278725610338638
1987-12-01,0.187543406023039,0.0282728842665802
1988-01-01,0.188280224811292,0.0287641803206062
1988-02-01,0.188530608103038,0.0291502201873597
1988-03-01,0.18875728522282,0.0296229799289082
1988-04-01,0.188970891288638,0.029757916180296
1988-05-01,0.188602435650578,0.029943036404154
1988-06-01,0.188164206017433,0.0304154525402532
1988-07-01,0.188253483428183,0.0309039255062176
1988-08-01,0.188441502546755,0.0312153755718419
1988-09-01,0.188536348486789,0.0316559280658285
1988-10-01,0.188988962232522,0.0318682633188519
1988-11-01,0.18877781703222,0.0321742078857521
1988-12-01,0.188665872708458,0.0322508474951301
1989-01-01,0.188549708069891,0.0320719246750118
1989-02-01,0.188894420876668,0.0320394370912878
1989-03-01,0.189429777176813,0.0320395108919513
1989-04-01,0.189572793256434,0.0323027079203237
1989-05-01,0.189686876388273,0.0327658415231878
1989-06-01,0.189789871625244,0.033105137754247
1989-07-01,0.189991273786708,0.033364688837808
1989-08-01,0.189790169326583,0.0337106172961627
1989-09-01,0.189813624646147,0.0340392480300321
1989-10-01,0.18960210158519,0.0343028710267917
1989-11-01,0.190258341925679,0.0344178423035043
1989-12-01,0.191074069078564,0.0345336591896879
1990-01-01,0.191251985047106,0.0346191372624068
1990-02-01,0.191201261767985,0.034553797475158
1990-03-01,0.191164080349552,0.0345983549493674
1990-04-01,0.191486607317242,0.0346120470873885
1990-05-01,0.19173058310057,0.0345414802317374
1990-06-01,0.191453508967961,0.0347466319589529
1990-07-01,0.191212547710009,0.034612475477189
1990-08-01,0.19073156896249,0.0349669558203426
1990-09-01,0.189783139927856,0.0350695442029933
1990-10-01,0.189274779882891,0.0349928598809483
1990-11-01,0.188775401170167,0.0350121089430141
1990-12-01,0.188357910392071,0.0350000521534149
1991-01-01,0.188552400556108,0.0352080759768882
1991-02-01,0.189058216839915,0.0353851389329752
1991-03-01,0.189216289035328,0.0353276316755907
1991-04-01,0.18969560537582,0.0352146148059951
1991-05-01,0.191010761577534,0.03485359000761
1991-06-01,0.192105513814526,0.0343871563281946
1991-07-01,0.192734293041025,0.0341879295247733
1991-08-01,0.193081970368019,0.0337746539141806
1991-09-01,0.193891180693685,0.033598676864012
1991-10-01,0.194152006562773,0.0337527092286567
1991-11-01,0.194635135644881,0.0337912437133258
1991-12-01,0.195217913760762,0.0341302956176029
1992-01-01,0.19619473991507,0.0334501694296312
1992-02-01,0.196956363528581,0.0329421846151105
1992-03-01,0.197268071624944,0.0323220452421083
1992-04-01,0.197211818245338,0.0316314127383929
1992-05-01,0.196765538110041,0.0314530916311215
1992-06-01,0.196602869417083,0.0311279287238426
1992-07-01,0.19633734490313,0.030608658379444
1992-08-01,0.197458952455842,0.0298902598789217
1992-09-01,0.198291022667441,0.0288244763664043
1992-10-01,0.199831283197795,0.0277649444125116
1992-11-01,0.200753295081106,0.0270863772206375
1992-12-01,0.201197543658227,0.0261964868135798
1993-01-01,0.200365475834315,0.0262350499495676
1993-02-01,0.19985038554763,0.0259794546339633
1993-03-01,0.199696498985439,0.0258524974172388
1993-04-01,0.199437425644079,0.0260589469682902
1993-05-01,0.199964019046255,0.0261066357591364
1993-06-01,0.200399571654828,0.0262386194783989
1993-07-01,0.201217057129919,0.0262445008328522
1993-08-01,0.201731436452022,0.0261504651050025
1993-09-01,0.202270078213757,0.02633467870569
1993-10-01,0.202593635823155,0.0264737488611984
1993-11-01,0.203061541923509,0.0264575508724399
1993-12-01,0.203545845057274,0.02657151837988
1994-01-01,0.204649781301689,0.0264256617838638
1994-02-01,0.205777862035418,0.0262950972829566
1994-03-01,0.206253974265105,0.0262087921241568
1994-04-01,0.20726663098684,0.0258021423188682
1994-05-01,0.208100402342935,0.0255071486424706
1994-06-01,0.209618259598999,0.0250342417705842
1994-07-01,0.211138155792212,0.0249195450825352
1994-08-01,0.212278809196898,0.0248772318230876
1994-09-01,0.213323801334175,0.024898579992879
1994-10-01,0.214232677047394,0.0246389085802158
1994-11-01,0.214979030003187,0.0244709437854772
1994-12-01,0.215781623869977,0.0242321268421188
1995-01-01,0.216330671959331,0.0240066170130836
1995-02-01,0.216176476228297,0.0242788131959291
1995-03-01,0.216689304221668,0.024580682413593
1995-04-01,0.216026980466239,0.0251370677623987
1995-05-01,0.215300528692839,0.025472078832496
1995-06-01,0.214902847553322,0.025847010093123
1995-07-01,0.214497769543983,0.0261866262438373
1995-08-01,0.213991809539034,0.026476948518289
1995-09-01,0.213742060148888,0.0266521319332869
1995-10-01,0.21364203425786,0.0268750290758616
1995-11-01,0.213883431226437,0.0268010031909547
1995-12-01,0.214326165712581,0.0269961016406439
1996-01-01,0.214956061397724,0.0275193037938318
1996-02-01,0.216352689065529,0.0277190165179954
1996-03-01,0.217585041601544,0.0278593534609261
1996-04-01,0.220033995167989,0.0277896210290417
1996-05-01,0.221530556082081,0.0275477239514959
1996-06-01,0.22233831189306,0.0274044035897803
1996-07-01,0.222654522209398,0.0273789965465868
1996-08-01,0.222710555972403,0.0274404322767035
1996-09-01,0.222654922497001,0.0275388390409349
1996-10-01,0.22322809149749,0.0275265286090852
1996-11-01,0.223416831334733,0.0274423491634105
1996-12-01,0.223096880415427,0.0274326609582732
1997-01-01,0.223157494808742,0.0270913137917087
1997-02-01,0.223037227721769,0.0268901250410118
1997-03-01,0.222888462695173,0.0267493528050081
1997-04-01,0.222234454816261,0.0267302731837608
1997-05-01,0.221487227120779,0.0269708401207961
1997-06-01,0.220468482562714,0.0273457121854512
1997-07-01,0.220252332378326,0.0275071009662993
1997-08-01,0.219503061495421,0.027745924000799
1997-09-01,0.219659872571273,0.0279524196420551
1997-10-01,0.219452326281696,0.0282735616153067
1997-11-01,0.219768065637949,0.0287129290524539
1997-12-01,0.220160655329242,0.0288920536159478
1998-01-01,0.219630848964789,0.0293757418556987
1998-02-01,0.219228583009879,0.0296697844330844
1998-03-01,0.218877920260802,0.0298956859178151
1998-04-01,0.218430478157499,0.0299394432860136
1998-05-01,0.21817511723781,0.030085107649487
1998-06-01,0.218282688471795,0.0298768433655204
1998-07-01,0.21774410135839,0.0295465251634872
1998-08-01,0.21825670225533,0.0293324648108602
1998-09-01,0.21829182472061,0.0291791353644222
1998-10-01,0.217876379577742,0.0292279979268099
1998-11-01,0.216978242997832,0.0293582891200773
1998-12-01,0.216234942727852,0.0297155347291929
1999-01-01,0.216176809304906,0.0297366469112753
1999-02-01,0.215759585450638,0.0298093934823624
1999-03-01,0.214879738273595,0.02979554700037
1999-04-01,0.215236062597808,0.0295611367247386
1999-05-01,0.215655087514828,0.0292330176056992
1999-06-01,0.215284620958765,0.0292444463638678
1999-07-01,0.215286174978724,0.0292719032356625
1999-08-01,0.215170486039672,0.0293225720487175
1999-09-01,0.215504262880404,0.0292004047980794
1999-10-01,0.216516941984663,0.0291080787152349
1999-11-01,0.216646799555866,0.0292191522658838
1999-12-01,0.217428530628451,0.0292421826791695
2000-01-01,0.218283225918125,0.0291269574262541
2000-02-01,0.218735340332216,0.0288764003811022
2000-03-01,0.219411522378974,0.0288879609032016
2000-04-01,0.219095734119981,0.0289043170028133
2000-05-01,0.218951430963507,0.0288261397709335
2000-06-01,0.219508199866134,0.0287761854770596
2000-07-01,0.220971344221853,0.0290259304697932
2000-08-01,0.222208677640848,0.0291066290604826
2000-09-01,0.22227071326625,0.0296289513177291
2000-10-01,0.222101271164188,0.0298000372486503
2000-11-01,0.222752252658039,0.029775107482425
2000-12-01,0.223091165096977,0.0298202520237329
2001-01-01,0.223406312432436,0.0301229835044918
2001-02-01,0.223670771606601,0.0303495975344325
2001-03-01,0.224564391409348,0.0304354230562065
2001-04-01,0.225990285883035,0.0306368670660922
2001-05-01,0.227231015375654,0.0306837778506944
2001-06-01,0.22771437421466,0.0309090536501719
2001-07-01,0.226780319847679,0.0309619220059984
2001-08-01,0.225941268922309,0.0310564090306774
2001-09-01,0.224581226815364,0.0309344780663399
2001-10-01,0.223908140404437,0.0310114836516311
2001-11-01,0.223219610407859,0.0310111235671326
2001-12-01,0.222651829305861,0.0307215692227346
2002-01-01,0.222415349184921,0.0303347449365599
2002-02-01,0.22222661404354,0.0304920407150438
2002-03-01,0.222091704904867,0.030430362687258
2002-04-01,0.22177632270387,0.0306935834847468
2002-05-01,0.221149236918802,0.0312567556495293
2002-06-01,0.221733444568534,0.0311645833276373
2002-07-01,0.222467566967588,0.0315014038358346
2002-08-01,0.222416525217026,0.0316573074910539
2002-09-01,0.223163561934024,0.0318349477117365
2002-10-01,0.223138260494361,0.0319015103469392
2002-11-01,0.223080443632664,0.0317656023669998
2002-12-01,0.223190454049778,0.0317770212398457
2003-01-01,0.223014295706592,0.0318994448491351
2003-02-01,0.22334085413774,0.0317341924984701
2003-03-01,0.223147229319409,0.0316373510084302
2003-04-01,0.22288260454231,0.0316689306619342
2003-05-01,0.22311291347633,0.031639006233838
2003-06-01,0.222666244304521,0.0319623860488807
2003-07-01,0.223012354477262,0.0320430864705268
2003-08-01,0.223968673759841,0.0319720615212264
2003-09-01,0.225027091050796,0.0317442802026047
2003-10-01,0.226429104892613,0.031745432000384
2003-11-01,0.227306223104732,0.0319541664211318
2003-12-01,0.227298789109027,0.0321721784899686
2004-01-01,0.226919000616842,0.0324489311250597
2004-02-01,0.227168643366276,0.0323831581584235
2004-03-01,0.227378229975033,0.0324648572697375
2004-04-01,0.227941660114389,0.0320915182828715
2004-05-01,0.228889115419616,0.0320402212390167
2004-06-01,0.229943449555989,0.0319420348482263
2004-07-01,0.230564444837521,0.0318642319604115
2004-08-01,0.230260758337711,0.0321243188120452
2004-09-01,0.229842899342755,0.0321944314911444
2004-10-01,0.229396046895627,0.0325083072270811
2004-11-01,0.228899476337476,0.0326848259361903
2004-12-01,0.229127130471338,0.0329664435570554
2005-01-01,0.22914362282701,0.0330627868401747
2005-02-01,0.228318801710118,0.0333650000464362
2005-03-01,0.227851949599466,0.0340199010483367
2005-04-01,0.227248430439472,0.0347249621581041
2005-05-01,0.226672774261442,0.0352931140962834
2005-06-01,0.226363042046531,0.0358074620389111
2005-07-01,0.22543880259834,0.0359872187992919
2005-08-01,0.224920985788945,0.0360165253565279
2005-09-01,0.224470756611117,0.0359759770254279
2005-10-01,0.224850796253898,0.0356754033539868
2005-11-01,0.226129183830204,0.0352317211894019
2005-12-01,0.226827855180676,0.0346688390613222
2006-01-01,0.227339078754664,0.034271499556912
2006-02-01,0.227385085412973,0.0342329436547896
2006-03-01,0.226674036543612,0.034086096762677
2006-04-01,0.226200419192344,0.0342261610776427
2006-05-01,0.225786950721273,0.0341911271640809
2006-06-01,0.225322504957322,0.033977809549721
2006-07-01,0.225586060928713,0.0339307572610421
2006-08-01,0.2266188757107,0.033808817084948
2006-09-01,0.228243316525151,0.034241165974433
2006-10-01,0.22975686330868,0.0345141159219871
2006-11-01,0.230939077026431,0.0350351711794506
2006-12-01,0.231861782304626,0.0358149492027359
2007-01-01,0.233099966785293,0.0366043436439252
2007-02-01,0.234142846091226,0.0369449844757778
2007-03-01,0.236101821094293,0.0369607161624345
2007-04-01,0.237810405426029,0.0368616186102771
2007-05-01,0.238752322013899,0.0368132883699626
2007-06-01,0.240345022258927,0.0368492467897984
2007-07-01,0.24181141448134,0.0374002616715699
2007-08-01,0.243200988743983,0.0377604662397884
2007-09-01,0.244252107940483,0.0380128554147265
2007-10-01,0.244176806552966,0.0383320449768987
2007-11-01,0.243455215672533,0.0388021618513371
2007-12-01,0.243312096214203,0.0388733515851865
2008-01-01,0.243804261999777,0.0389768372442396
2008-02-01,0.244919907836302,0.0394694308674228
2008-03-01,0.24590429187581,0.0399295191481777
2008-04-01,0.246709800174377,0.0405235601340693
2008-05-01,0.247354871640485,0.0407665939930671
2008-06-01,0.247434094735496,0.0412716175860098
2008-07-01,0.247234778936102,0.0410524644038036
2008-08-01,0.247738850829049,0.0410759543230654
2008-09-01,0.248119248914644,0.0409092129232134
2008-10-01,0.248622688801997,0.0408872333783834
2008-11-01,0.250075291269013,0.0406214151228462
2008-12-01,0.251336824319485,0.0405246146812701
2009-01-01,0.252431051659866,0.0403611264770334
2009-02-01,0.253726644286578,0.040252313854845
2009-03-01,0.254326270672422,0.0403169409623725
2009-04-01,0.254919865563461,0.0402760844505678
2009-05-01,0.255827402900799,0.0406267824352958
2009-06-01,0.256769160110524,0.0407200340889496
2009-07-01,0.25794256885574,0.0411434507466847
2009-08-01,0.258459064109031,0.0415271797834009
2009-09-01,0.259114784542243,0.0417891014076688
2009-10-01,0.260205556854891,0.0424154773851798
2009-11-01,0.261178707706548,0.0430475515276377
2009-12-01,0.262416488622332,0.0435057019752987
2010-01-01,0.263763945301393,0.0436743632938832
2010-02-01,0.264700613484916,0.043862255985169
2010-03-01,0.26590114228438,0.0438105638397845
2010-04-01,0.266809963863835,0.0438045070325541
2010-05-01,0.267741853737269,0.0435481858670174
2010-06-01,0.26846081300765,0.0432591729963859
2010-07-01,0.268908210945767,0.043110913695447
2010-08-01,0.270040804011898,0.0430698958519096
2010-09-01,0.269976929859886,0.0432382513983701
2010-10-01,0.269821886664457,0.0428689214706181
2010-11-01,0.269739802453766,0.0423344467154104
2010-12-01,0.268661530303575,0.0420247639855546
2011-01-01,0.268428622877918,0.0422236973390303
2011-02-01,0.267946938349075,0.0422342247602338
2011-03-01,0.26738383187901,0.0426223791598196
2011-04-01,0.26780630347771,0.0426237008192519
