year_new,group,average_wage_mar26,median_wage_mar26,low_wage_mar26
2019,all_16plus,33.3578841997083,24.240002109125694,12.759622418441639
2020,all_16plus,34.168636714045924,24.761031629219893,13.022707154594638
2021,all_16plus,36.734720691194134,26.45827451942672,13.940450097525538
2022,all_16plus,35.75721966272553,25.44739626506865,13.930002755465521
2023,all_16plus,36.04807294745749,25.494263174651238,14.146562564251
2024,all_16plus,36.25406953405799,25.74356816980168,14.654629906581881
2025,all_16plus,36.33423949284384,26.187255083924992,14.905686190277347
2026,all_16plus,36.026193705194885,26.214258235932395,14.80090714452818
1979,grads_22-27,24.472198358257153,22.34468058197586,13.325696099795886
1980,grads_22-27,23.668728861794857,21.890371540011678,12.799596271295284
1981,grads_22-27,23.78432351732101,21.76730092352211,12.586154694663968
1982,grads_22-27,23.523759867499372,21.245250677678563,12.163186276944863
1983,grads_22-27,24.269515734166436,21.95289503670941,11.802465413823468
1984,grads_22-27,23.969069348302405,21.52431430249374,11.393906114056707
1985,grads_22-27,24.25222791670435,21.57335318941674,11.718414112790882
1986,grads_22-27,24.875276551391757,22.74032059697264,12.035897182150743
1987,grads_22-27,25.210859034359704,23.05243761585595,12.315708736556154
1988,grads_22-27,25.412714130615885,23.164262632403116,12.374277521816618
1989,grads_22-27,25.537299310975826,23.23627975020395,12.43461805128061
1990,grads_22-27,25.65705218263858,23.81273565335763,12.371913138901
1991,grads_22-27,25.249505410036367,22.955371707915962,12.572746214338133
1992,grads_22-27,24.20928882913681,22.128790641812255,12.014541244474117
1993,grads_22-27,23.955548044255288,21.593973066035023,11.555499403737745
1994,grads_22-27,24.130383070470714,21.419288893548615,11.935472732990727
1995,grads_22-27,23.44472587167834,20.978238335388493,11.546093829196948
1996,grads_22-27,23.683225330424964,21.546072384348466,11.740799077948807
1997,grads_22-27,23.750916373806398,21.7634653956486,11.747543955978154
1998,grads_22-27,24.74374554676368,22.75050375511009,12.181159510114322
1999,grads_22-27,26.155133620465936,23.64541059326023,13.059295783628375
2000,grads_22-27,26.98276730894097,24.260103269977716,13.569908201785179
2001,grads_22-27,27.927375336062767,25.063336290400393,13.932372516555873
2002,grads_22-27,28.97506929959043,25.7669908530302,14.037078257746078
2003,grads_22-27,27.985002303454873,25.4144543755553,13.670235890373192
2004,grads_22-27,26.920426189940617,24.274781188065045,13.344389061542543
2005,grads_22-27,26.965191316964447,23.95367356528992,13.205105288845589
2006,grads_22-27,27.45922026848776,23.991037794010264,12.874465762542231
2007,grads_22-27,27.875806234643033,24.453054764956786,13.498800749128163
2008,grads_22-27,28.077288365279514,24.52317604409377,13.84383845122614
2009,grads_22-27,27.61011337231376,24.43101988458593,13.387849354755831
2010,grads_22-27,27.281296091266867,24.20763688823774,12.995136098265714
2011,grads_22-27,26.83551928679593,23.57011184517134,12.878834962285577
2012,grads_22-27,26.18595290904277,23.028588250334796,12.421076534229178
2013,grads_22-27,26.223150791975876,22.44965251972626,12.551650616184041
2014,grads_22-27,26.448503274490925,22.779480432357055,12.445855656012823
2015,grads_22-27,27.356855388039047,23.23132761233405,12.807739280741062
2016,grads_22-27,28.551216409384985,24.141183111744436,12.985734425331403
2017,grads_22-27,29.096290266132097,24.6880573969232,13.420531130054078
2018,grads_22-27,28.96354679410663,25.032379763427233,13.73276833911681
2019,grads_22-27,29.93007088158147,25.352266968726536,14.329453717514804
2020,grads_22-27,31.838927984178586,26.195986302876733,14.716561847793658
2021,grads_22-27,33.10795689003411,27.58681242547935,15.716790145552304
2022,grads_22-27,32.27546163909746,26.329707713712622,15.308946010437266
2023,grads_22-27,33.15824336952329,26.75699417355184,15.673927036424221
2024,grads_22-27,32.1994181815265,26.49465941510147,15.848113406926267
2025,grads_22-27,32.83072790535727,27.1290439021197,16.2088431840977
2026,grads_22-27,32.59582809429291,27.23551305387251,16.162715169448845
