"date","epop","unemp","employment","labor_force","idled","population"
2000-12-01,0.577860882592219,0.0247067815883738,14001756.1824697,14356458.056043,0,24230323.6025588
2001-01-01,0.577915907760819,0.0250092212839999,14032465.4376647,14392408.3632304,0,24281154.4884351
2001-02-01,0.577898140013476,0.0252277404342709,14064965.7764212,14428976.2438329,0,24338139.8945033
2001-03-01,0.578397318652481,0.0253713668044149,14106332.58892,14473546.2395236,0,24388654.881361
2001-04-01,0.579153341830473,0.0259487484910082,14149565.4198767,14526510.1789627,0,24431466.4146729
2001-05-01,0.580404329914524,0.0262727072883516,14213966.8729649,14597482.2513002,0,24489767.1164138
2001-06-01,0.581041920052939,0.0266876206021343,14263219.6673489,14654308.2871017,0,24547660.2893804
2001-07-01,0.58174607065573,0.0270128637867771,14318858.0504449,14716389.8858649,0,24613587.9083894
2001-08-01,0.582240742797689,0.0273349029906766,14372084.1035754,14775984.1982257,0,24684092.0724939
2001-09-01,0.583045357260702,0.0280422278536103,14433390.267629,14849812.0816046,0,24755175.7129854
2001-10-01,0.583809297543608,0.0286503714796826,14499979.1985963,14927662.2678947,0,24836841.8584722
2001-11-01,0.584966268220108,0.0291003065170837,14580088.2175357,15017090.1437124,0,24924664.9074294
2001-12-01,0.585542459618087,0.0303516933977961,14645086.6116829,15103503.5197468,0,25011143.7200216
2002-01-01,0.58624355359077,0.0310820615097208,14717370.5811342,15189491.2835096,0,25104532.904438
2002-02-01,0.587099953274917,0.0321492639159378,14795529.041687,15286994.6677418,0,25201039.3786538
2002-03-01,0.587233079257562,0.0331305354179364,14863113.1851692,15372409.3371735,0,25310415.421353
2002-04-01,0.587472938031913,0.0340618843907943,14938978.4465987,15465771.7768771,0,25429219.7639701
2002-05-01,0.587742840396989,0.0350539041468429,15012705.2582652,15558076.5835336,0,25542982.7918021
2002-06-01,0.588105621021033,0.0361666594200969,15088869.1343613,15655060.3710003,0,25656733.4081332
2002-07-01,0.588662938533323,0.0370436860738829,15169704.4027055,15753263.3446852,0,25769762.9827035
2002-08-01,0.589394369421485,0.03780273940923,15256326.7702681,15855716.2809849,0,25884751.4699586
2002-09-01,0.590911351432116,0.0381080485055649,15361858.9474284,15970462.0914663,0,25996892.613753
2002-10-01,0.592619945717206,0.0382601968524626,15472385.9292494,16087912.6335545,0,26108446.1315664
2002-11-01,0.594104133899395,0.0384904492223722,15579407.2512862,16203070.7221642,0,26223361.1286812
2002-12-01,0.595000296202739,0.0389528242658717,15673885.8115412,16309174.2084026,0,26342652.1155891
2003-01-01,0.595960110817424,0.0394734098996362,15775535.9265118,16423840.9317366,0,26470791.65227
2003-02-01,0.596617236123994,0.0393138623418801,15866375.1086143,16515669.8807917,0,26593893.2835604
2003-03-01,0.597479312583604,0.0394124839067398,15961273.9584233,16616158.0189365,0,26714354.1579774
2003-04-01,0.598068903594935,0.0396924425216763,16046157.4975074,16709394.1649726,0,26829947.8555991
2003-05-01,0.598444673785333,0.040088104049623,16124357.4000235,16797747.2391456,0,26943772.9272989
2003-06-01,0.598713947242364,0.0404686939202691,16198639.5549552,16881824.9621646,0,27055724.4065634
2003-07-01,0.598763434940051,0.0409302385815616,16266676.2174431,16960889.470006,0,27167116.874917
2003-08-01,0.598932828766927,0.0410693166880586,16338013.649087,17037742.0739724,0,27278540.8719762
2003-09-01,0.598133461915814,0.0413154470078234,16384613.1674589,17090724.0721887,0,27392905.1134828
2003-10-01,0.598156903237895,0.0414309843269701,16453014.3047651,17164141.5857919,0,27506184.7747688
2003-11-01,0.59828807253895,0.0415234204704535,16522825.9289853,17238632.9325806,0,27616839.9260702
2003-12-01,0.598621591363187,0.0412075779067845,16598435.0506331,17311812.9306819,0,27727758.7212232
2004-01-01,0.598735394755717,0.0408239857686638,16660315.8786583,17369404.188041,0,27825840.9717964
2004-02-01,0.599058356764516,0.0409155427414087,16728017.7268012,17441652.4010992,0,27923853.3907588
2004-03-01,0.599414516310362,0.0406893459354813,16796673.6792269,17509107.8245204,0,28021799.9767793
2004-04-01,0.59948737115676,0.0402166528152995,16857007.1495047,17563346.1436383,0,28119036.2975915
2004-05-01,0.599352562852888,0.0399895017362546,16911914.8564316,17616385.3280961,0,28216972.6211427
2004-06-01,0.599219844053663,0.0396654664708308,16967117.8500621,17667924.3093643,0,28315347.0607402
2004-07-01,0.599334450983312,0.0390564826809909,17029419.0529013,17721560.8888362,0,28413883.1414773
2004-08-01,0.599609403615105,0.0386203681720082,17096464.2350092,17783260.2948968,0,28512668.6338355
2004-09-01,0.599804495978932,0.0383654846327233,17161906.469451,17846599.9246047,0,28612500.5472679
2004-10-01,0.599239695749382,0.0383587691121026,17206167.7688157,17892502.1267328,0,28713331.0607843
2004-11-01,0.59907218908518,0.0381752643654196,17262452.0949656,17947606.7264754,0,28815312.0933997
2004-12-01,0.599311418204736,0.0378462462938754,17331159.2519318,18012879.1112375,0,28918453.2873545
2005-01-01,0.599378991956139,0.0375848571916827,17397559.8300495,18076980.5629654,0,29025975.3236774
2005-02-01,0.599418014121419,0.0371773751615477,17463071.6918052,18137371.5586869,0,29133378.1774998
2005-03-01,0.59953320197279,0.0369534533033716,17530872.7391078,18203557.0339158,0,29240870.5329774
2005-04-01,0.600512541725756,0.0367017942535742,17624053.0593818,18295531.9071995,0,29348351.3412288
2005-05-01,0.601439372919597,0.0360524232848754,17715123.0431973,18377683.0515677,0,29454544.9480667
2005-06-01,0.602900848124679,0.0351583941836998,17821084.4753685,18470476.7787155,0,29558897.6708209
2005-07-01,0.603880263716626,0.0350304550596332,17911960.7078094,18562203.1303759,0,29661444.137235
2005-08-01,0.604938029560507,0.0346835387246729,18004430.7686475,18651324.7115469,0,29762438.2810383
2005-09-01,0.605983755247528,0.034527301448094,18096542.5144167,18743712.3199437,0,29863081.9022942
2005-10-01,0.607245448312378,0.0338299234132612,18194781.0908963,18831861.5239817,0,29962811.8110431
2005-11-01,0.607866056774398,0.0333774115713028,18274681.4953896,18905704.9919516,0,30063664.9994294
2005-12-01,0.608300474168766,0.0332068874937858,18349425.1849775,18979681.3274873,0,30165068.0283486
2006-01-01,0.609121857625673,0.0329539098771752,18436726.9042371,19064992.9641879,0,30267715.1926587
2006-02-01,0.610048841225564,0.0325259671074132,18526929.01439,19149794.6037865,0,30369583.1585716
2006-03-01,0.611179667662548,0.0317821532044172,18623157.1372852,19234470.0099471,0,30470838.8099842
2006-04-01,0.612033314943388,0.0313884167738438,18710897.4338643,19317234.8523273,0,30571697.6135441
2006-05-01,0.612685850179864,0.0313498065933911,18792619.5530933,19400831.8802913,0,30672520.9135749
2006-06-01,0.613423167418194,0.0313861076439838,18877234.9380608,19488916.1584752,0,30773593.076884
2006-07-01,0.614469187720716,0.0311870016153731,18972099.5979309,19582829.3278109,0,30875591.4487839
