"year_new","month","epop","unemp","employment","labor_force","idled","population"
1992,12,0.531961783194105,0.0438892996712837,916217.626750946,958275.675019582,0,1722337.31011581
1992,1,0.527972031009318,0.0509427413567574,908932.363644918,957721.312773387,0,1721554.00335757
1992,2,0.527744480260412,0.0549255244508977,908132.878835042,960911.443838755,0,1720781.38721021
1992,3,0.534776976573214,0.0542767610525227,920017.342652639,972818.79598999,0,1720375.75093079
1993,4,0.538438695456484,0.0495190699717639,923216.714962006,971315.347625732,0,1714618.06655502
1993,5,0.538680400455069,0.0484802079153654,923238.001546224,970277.244074504,0,1713888.2364502
1993,6,0.538982276370027,0.0515235190619571,924543.644844055,974767.07480367,0,1715350.73670832
1993,7,0.537881514537436,0.0553613572148201,922480.183602651,976542.925327301,0,1715024.88683955
1993,8,0.527858814278487,0.0565035350569595,906947.417638143,961262.125865936,0,1718162.87443797
1993,9,0.534981676420466,0.0483930465833134,919328.473139445,966080.028985341,0,1718429.83350499
1993,10,0.530355029047026,0.0471879656007867,911610.110794067,956757.553307851,0,1718867.66574478
1993,11,0.52953357093946,0.0465269592845648,909005.376430511,953362.431462606,0,1716615.19933065
1993,12,0.534228875874178,0.0442649930900471,915105.762212118,957489.006467183,0,1712947.02240626
1993,1,0.529596615432996,0.0503307610780718,909341.984653473,957535.47380956,0,1717046.44281006
1993,2,0.541998289510013,0.0514176656090794,929746.978599548,980143.67851003,0,1715405.74314372
1993,3,0.541849736746772,0.0485979867077077,928347.61945343,975767.978712718,0,1713293.47694651
1994,4,0.542494189483045,0.0458541999305991,929497.368344625,974167.017532349,0,1713377.55567551
1994,5,0.544889879785751,0.0456821795815449,930896.306012471,975457.322597504,0,1708411.81043498
1994,6,0.544036784489309,0.043325059489458,930636.428355535,972782.278439204,0,1710613.05942599
1994,7,0.526474629122999,0.0481509751770325,901510.571251551,947115.086259842,0,1712353.30514081
1994,8,0.531253952173797,0.0464642613599023,912258.270951589,956711.147767385,0,1717179.26467896
1994,9,0.532185083841399,0.0478903651444783,913313.877206167,959252.846280416,0,1716158.3534317
1994,10,0.537689028590573,0.0458578344048293,921956.839710236,966267.787919362,0,1714665.5235405
1994,11,0.540747079384939,0.0415293152387692,928254.504161835,968474.590741475,0,1716614.91952515
1994,12,0.540556090597306,0.0395719423584939,926864.646250407,965053.695460002,0,1714650.26918157
1994,1,0.537656256881561,0.0514192976860561,924288.059786479,974390.536863963,0,1719105.93052038
1994,2,0.536950725554272,0.050318670780069,922440.706279755,971316.038230896,0,1717924.31293869
1994,3,0.536246315845734,0.0513026538697616,920883.796168009,970682.378236135,0,1717277.61843109
1995,4,0.542256327544823,0.0423740135849401,931890.1385053,973125.365983327,0,1718541.75077057
1995,5,0.54708020214844,0.0404869572900236,938656.935702006,978263.862939199,0,1715757.45569992
1995,6,0.541217957935849,0.0363280437881908,929836.568978628,964889.102546692,0,1718044.56105804
1995,7,0.535905020462612,0.0388898883616561,921218.367258708,958494.095633189,0,1718995.59079234
1995,8,0.537911918247255,0.0419558122477098,924092.045668284,964560.985267639,0,1717924.46740977
1995,9,0.548577412540118,0.0354055815512149,943320.426769892,977945.143293381,0,1719575.7703584
1995,10,0.558055391602387,0.0358614084447555,961281.069011052,997036.191094081,0,1722554.93536377
1995,11,0.558224886735339,0.0360864442933528,963082.789056778,999138.131583532,0,1725259.50014369
1995,12,0.559363843887325,0.0334251961568565,964368.367941538,997717.26317215,0,1724044.8743337
1995,1,0.548971353391861,0.042850997538519,945989.914391836,988341.326124827,0,1723204.5143102
1995,2,0.551355943055913,0.0368407730946578,948805.568581263,985097.315248489,0,1720858.51350848
1995,3,0.550130616978613,0.0379579332804684,947164.800540606,984535.742569288,0,1721708.93840186
1996,4,0.551347428525557,0.0382698711169758,950577.53125604,988403.610023181,0,1724098.96568871
1996,5,0.546069233745422,0.0357449993214652,942969.119122187,977925.04934756,0,1726830.70359866
1996,6,0.543008900190987,0.0354695978057755,937624.924908002,972105.10189724,0,1726721.09900633
1996,7,0.55082555584783,0.0380452532645713,950810.75826931,988415.267450015,0,1726155.85492547
1996,8,0.545409227356613,0.0394211934646648,943082.89412721,981786.072845777,0,1729128.96743234
1996,9,0.561911769517608,0.0306755502326377,971230.397857666,1001966.26433055,0,1728439.32187335
1996,10,0.568913964563461,0.0298965384353113,985328.331263224,1015694.06800588,0,1731946.1159989
1996,11,0.560300259557844,0.0339824150733363,972856.731513341,1007079.73301252,0,1736313.19086138
1996,12,0.55024627818379,0.03211970790808,957235.150893529,989001.593187332,0,1739648.56982422
1996,1,0.549833385732371,0.0387076790814224,957878.95247523,996449.187859853,0,1742125.84635862
